date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:01	28784/28784	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:56%20GMT	https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/bg1a82.html	(from )
21:00:02	226/226	---M--	200	added ('OK')	text/plain	etag:W/%22226-1545758511000%22	https://www.chsi.com.cn/robots.txt		(from )
21:00:02	12525/12525	---MCZ	200	added ('OK')	text/css	etag:W/%225c22745b-30ed%22	https://t3.chei.com.cn/chsi/css/common2014.css?20180828	C:/Users/Administrator/Desktop/wang/t3.chei.com.cn/chsi/css/common2014a0a3.css	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:02	85260/85260	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c227388-14d0c%22	https://t1.chei.com.cn/common/jquery/1.5.1/jquery.min.js	C:/Users/Administrator/Desktop/wang/t1.chei.com.cn/common/jquery/1.5.1/jquery.min.js	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:02	2656/2656	---MCZ	200	added ('OK')	text/css	etag:W/%225c33858f-a60%22	https://t2.chei.com.cn/chsi/css/report/new-add.css	C:/Users/Administrator/Desktop/wang/t2.chei.com.cn/chsi/css/report/new-add.css	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:03	23176/23176	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c227392-5a88%22	https://t1.chei.com.cn/common/js/boomerang-min-20141211.js	C:/Users/Administrator/Desktop/wang/t1.chei.com.cn/common/js/boomerang-min-20141211.js	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:03	23034/23034	---M--	200	added ('OK')	image/jpeg	etag:%225c2273dc-59fa%22	https://t1.chei.com.cn/common/wap/images/share_xxw.jpg	C:/Users/Administrator/Desktop/wang/t1.chei.com.cn/common/wap/images/share_xxw.jpg	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:03	12819/12819	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:58%20GMT	https://www.chsi.com.cn/xlcx/index.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/index.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:03	12228/12228	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:58%20GMT	https://www.chsi.com.cn/xlcx/bgcx.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/bgcx.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:04	15426/15426	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:59%20GMT	https://www.chsi.com.cn/xlcx/bgys.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/bgys.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:04	10491/10491	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:59%20GMT	https://www.chsi.com.cn/xlcx/fwcs.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/fwcs.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:04	11110/11110	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2012:59:59%20GMT	https://www.chsi.com.cn/xlcx/yzzw.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/yzzw.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:05	11315/11315	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:00%20GMT	https://www.chsi.com.cn/xlcx/tdhyt.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/tdhyt.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:05	11691/11691	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:00%20GMT	https://www.chsi.com.cn/xlcx/rhsq.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/rhsq.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:05	11734/11734	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:00%20GMT	https://www.chsi.com.cn/xlcx/rhsy.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/rhsy.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:05	10693/10693	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:00%20GMT	https://www.chsi.com.cn/xlcx/rhyq.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/rhyq.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:05	10818/10818	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:00%20GMT	https://www.chsi.com.cn/xlcx/tbsm.jsp	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/tbsm.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:06	13618/13618	---M--	200	added ('OK')	image/jpeg	etag:%225c22747d-3532%22	https://t1.chei.com.cn/chsi/images/2014/zhaopin.jpg?20170630	C:/Users/Administrator/Desktop/wang/t1.chei.com.cn/chsi/images/2014/zhaopin90ef.jpg	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:06	28784/28784	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jan%202019%2013:00:01%20GMT	https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&lang=CN&srcid=archive	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/bgc94d.html	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:06	1112/1112	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Jan%202019%2013:00:01%20GMT	https://www.chsi.com.cn/report/img/057735c52e228c17689c660100598f4325e350280a.jpg	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/report/img/057735c52e228c17689c660100598f4325e350280a.png	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:06	1112/1112	---MC-	200	added ('OK')	APPLICATION/OCTET-STREAM	date:Wed,%2009%20Jan%202019%2013:00:01%20GMT	https://www.chsi.com.cn/xlcx/downloadxxewm.do?id=57735522281768960100584325350280&ln=CN	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/xlcx/%E5%AD%A6%E4%BF%A1%E4%BA%8C%E7%BB%B4%E7%A0%81d583.png	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:11	8827/8827	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jan%202019%2013:00:02%20GMT	https://www.chsi.com.cn/report/img/057735c52x228c17689c660100598f4325e350280a.jpg	C:/Users/Administrator/Desktop/wang/www.chsi.com.cn/report/img/057735c52x228c17689c660100598f4325e350280a.jpg	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
21:00:34	8524/8524	---M--	200	added ('OK')	image/jpeg	etag:%225a4eec16-214c%22	https://t1.chsi.com.cn/chsi/images/report/xj/photo_cn_by.jpg	C:/Users/Administrator/Desktop/wang/t1.chsi.com.cn/chsi/images/report/xj/photo_cn_by.jpg	(from https://www.chsi.com.cn/xlcx/bg.do?vcode=839340907058&trnd=70266857583194419795895093664207&srcid=archive)
